t,x,y,z
0, 7.5797, 6.44, 1.9
6, 7.659232175502742, 6.211325913659645, 2.12927697786035
12, 7.630828442220725, 5.695825470789849, 3.358569437993497
18, 7.89442894255749, 5.444776061924751, 4.771481653506735
24, 8.639449629558356, 4.965494666307237, 6.461836197553801
30, 8.877475223708265, 4.997496822890592, 6.5990091345409505
36, 9.488848263254113, 4.914949743905726, 6.56572224802601
42, 9.65020687000866, 4.732121538876266, 7.3992878154513075
48, 8.638064081593381, 4.604170678168445, 8.18888372813129
